# 台词表（Tab 分隔）。同一 dialogueId 多行，按 order 顺序逐句显示。
dialogueId	order	portraitId	en	zh
generic	1	generic_neutral	The shoot schedule says we're wrapping by six. Hope that's real.	排期表上写着六点收工，希望这次是真的。
generic	2	generic_neutral	They keep talking about the efficiency reform. Nobody explains what it means.	他们老把「效率改革」挂在嘴边，也没人说清楚到底改什么。
generic	3	generic_neutral	Free snacks in the pantry, at least. Don't miss the coffee machine.	好歹茶水间有免费零食，咖啡机记得去试试。
generic	4	generic_neutral	If you're filming, stay out of the server room. Bad idea.	你要拍素材的话，最好别进机房，容易惹麻烦。
lin_p1	1	lin_neutral	Welcome to Human Company! I'm Lin Cai from PR — I'll be with you for the whole shoot. Let me know if you need anything.	欢迎来到人类公司！我是林采，公关部的，今天由我全程陪同你的拍摄。有什么需要随时跟我说。
lin_p1	2	lin_neutral	The company is pushing an efficiency reform, and leadership really cares about this shoot. We want the world to see a real, transparent Human Company.	公司最近在推效率改革，上面非常重视这次拍摄。我们希望借这个机会，让外界看到一个真实、透明的人类公司。
lin_p1	3	lin_neutral	Follow the tour route and you'll see how happy our employees are. Work-life balance has always been one of our core competitive advantages.	跟着参观路线走一圈，你会发现我们的员工幸福感非常高。工作与生活的平衡，是我们一直以来的核心竞争力之一。
lin_p1	4	lin_neutral	Ask me anything — I'm happy to help. Though areas outside the tour route… I'd suggest you don't go there. Construction. Not safe.	有什么问题尽管问我——我很高兴为您提供帮助。不过参观路线之外的区域……建议就不要去了哦。那边正在施工，不安全。
lin_p2	1	lin_neutral	How's the shoot going? Enough footage? Human Company is always committed to creating the best content environment for our partners.	你拍得怎么样？素材够用吗？人类公司始终致力于为合作伙伴创造最优质的内容产出环境。
lin_p2	2	lin_neutral	About the efficiency reform — I can walk you through it from a strategy and talent-optimization angle. First— …First, um, honestly I'm not sure of the details. They just told me everyone would have it easier afterward.	关于效率改革，我可以从企业战略和人才优化两个维度帮你梳理一下。首先——……首先，嗯，其实我也说不太清楚。他们只跟我说，改完之后大家都会轻松很多。
lin_p2	3	lin_neutral	You want my personal take? I think… it's fine. Work got a lot easier. A lot of things I don't have to think about — the words just come out. Convenient.	你问我个人的感受？我觉得……挺好的。工作轻松了很多。很多事情不用想，话到嘴边就自己出来了。省心。
lin_p2	4	lin_neutral	Oh — have you been to B2? …Why did I ask that? Never mind. Anyway, specifics require specific analysis.	对了，你有没有去过 B2？……我为什么要问这个？忘了。总之具体情况还需要具体分析。
lin_p2	5	lin_neutral	Thank you for your interest. Your feedback is very important to us. Human Company will continue to provide you with excellent service.	感谢你的关注。你的反馈对我们非常重要，人类公司将持续为您提供优质服务。
lin_p3	1	lin_neutral	We suggest you wrap up soon. The building is entering security lockdown. Thank you for visiting Human Company — safe travels.	建议你尽快结束拍摄。大楼马上要进入安保管控了。感谢您的到访，人类公司祝您一路平安。
lin_p3	2	lin_neutral	Every moment you spend at Human Company, we cherish deeply. If you have unanswered questions, please contact us through official channels anytime.	您在人类公司的每一刻，我们都倍感珍惜。如果您有任何未解答的疑问，欢迎通过官方渠道随时联系我们。
lin_p3	3	lin_neutral	You're still here… So, what did you capture? Did you— Sorry, that wasn't precise enough. Per public company information, all internal procedures have passed compliance review.	你还在啊……那个，你拍到了什么？你有没有——抱歉，刚才的表述不够严谨。根据公司公开信息，所有内部流程均已通过合规审查。
lin_p3	4	lin_neutral	I want to tell you something… but I don't know if it's me talking or… something I'm supposed to say. I can't tell the two apart anymore. Haven't been able to for a long time.	我想跟你说一件事……但我不知道是我想说的还是……还是我被安排要说的。这两个我分不清了。很久以前就分不清了。
lin_p3	5	lin_neutral	In summary, specifics require specific analysis. I hope the above information is helpful.	总的来说，具体情况还需要具体分析。希望以上信息对您有所帮助。
lin_p3	6	lin_neutral	Sorry, as an employee I cannot provide more information at this time. Have a nice day. Goodbye.	抱歉，作为公司员工，我暂时无法提供更多相关信息。祝您生活愉快，再见。
boss_c1	1	boss_neutral	You're the influencer they booked? Good. I'm Wang Jianguo — I built this company from nothing, brick by brick.	你就是来拍纪录片的那个网红吧？好，有魄力。我叫王建国，这公司的创始人——从零开始，一砖一瓦搭起来的。
boss_c1	2	boss_stern	Young people today lack grit. When I was your age I biked to eight clients a day. You kids have it easy.	现在的年轻人啊，就是缺历练。我像你这么大的时候，骑自行车跑业务，一天跑八个客户。哪有你们现在这么舒服？
boss_c1	3	boss_neutral	Film our spirit. The company isn't just giving you exposure — it's trust. Got it?	来了就好好拍，拍出我们的精气神来。公司给你的不只是曝光——是信任。懂不？
boss_c2	1	boss_neutral	You've heard about our efficiency reform? The whole industry is copying us. One sentence: put the right people in the right places.	你听说我们的效率改革了吧？整个行业都在学。核心就一句话——把合适的人放在合适的位置上。
boss_c2	2	boss_neutral	Too much dead weight before — workers underpaid, slackers complaining. After reform? Every role optimized. Output tripled.	过去团队冗余太多，干活的人拿得少，摸鱼的人还嫌累。改革之后呢？每个岗位都是最优解。产能直接翻三倍。
boss_c2	3	boss_stern	Some say I'm too harsh. I call it backbone. A parent can't go soft when two hundred livelihoods are on the line.	有人说我太狠了。我说这叫魄力。当家长的，该做决定的时候不能心软。公司两百号人的饭碗，比个别人的感受重要。
boss_c3	1	boss_stern	What did Fang Xiao tell you? That kid's not right lately. Too much overtime — brain's fried. Don't take him seriously.	方晓跟你说什么了？那孩子最近精神不太好，别把他说的当真。加班太多，脑子糊了。
boss_c3	2	boss_neutral	The reform is voluntary — I never forced anyone. Of course, those who won't cooperate… the company won't keep them either. You get that, right?	效率改革是自愿的——我可从来没逼过谁。当然了，不愿意配合的……公司也不会强留。你懂这个道理吧？
